                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.84142,                0.69971,                 1.2066,                 0.7693,                0.82543,                0.80963,                0.59639,                 1.0174,                0.72886,                  1.412,              0.0084655,              0.0084655,              0.0084655
                     65,                0.85291,                 0.7025,                 1.2086,                0.80237,                 0.8508,                0.84203,                0.61382,                0.99063,                0.69608,                 1.3656,              0.0084408,              0.0084408,              0.0084408
                     66,                0.85345,                0.71279,                 1.2184,                0.78168,                0.84095,                0.82759,                0.62559,                  1.016,                0.73824,                  1.388,               0.008416,               0.008416,               0.008416
                     67,                 0.8413,                0.69771,                 1.2059,                0.80302,                0.78159,                0.80258,                0.61268,                  1.003,                0.73373,                 1.3904,              0.0083913,              0.0083913,              0.0083913
                     68,                0.84468,                0.70325,                 1.2054,                0.75665,                0.81707,                0.81089,                0.61599,                0.99763,                0.73456,                 1.3817,              0.0083665,              0.0083665,              0.0083665
                     69,                0.84175,                0.68561,                 1.2004,                0.81014,                0.86393,                0.82288,                0.61917,                0.99403,                0.70497,                 1.3852,              0.0083418,              0.0083418,              0.0083418
                     70,                0.83545,                0.67597,                  1.203,                0.82561,                0.83904,                0.83486,                0.61083,                 1.0151,                0.67831,                 1.3932,               0.008317,               0.008317,               0.008317
                     71,                0.82541,                0.69136,                 1.1999,                0.82544,                0.84278,                0.83567,                0.62511,                 1.0066,                0.71601,                 1.3852,              0.0082922,              0.0082922,              0.0082922
                     72,                0.84776,                0.70367,                  1.208,                0.80464,                0.85626,                0.85018,                0.63382,                 1.0023,                0.71151,                 1.3892,              0.0082675,              0.0082675,              0.0082675
                     73,                0.81857,                0.67036,                 1.1919,                0.86654,                0.84115,                0.85014,                  0.637,                 1.0009,                0.69745,                 1.3851,              0.0082428,              0.0082428,              0.0082428
                     74,                0.82356,                0.67067,                 1.1968,                0.83204,                 0.8214,                0.83641,                0.63181,                0.98982,                0.70427,                 1.3708,               0.008218,               0.008218,               0.008218
                     75,                0.81539,                0.67504,                 1.1846,                0.83733,                0.82856,                0.84676,                0.64163,                0.98669,                0.66316,                 1.3721,              0.0081932,              0.0081932,              0.0081932
                     76,                0.81337,                 0.6632,                 1.1905,                0.84548,                0.84351,                0.87216,                0.64905,                0.97806,                0.67832,                 1.3574,              0.0081685,              0.0081685,              0.0081685
                     77,                0.82897,                0.66567,                 1.1956,                0.84206,                0.87127,                0.85384,                0.63931,                0.99625,                0.67521,                 1.3881,              0.0081437,              0.0081437,              0.0081437
                     78,                0.81121,                0.65831,                  1.185,                0.84419,                0.86774,                0.84232,                0.63541,                0.98848,                0.68617,                 1.3805,               0.008119,               0.008119,               0.008119
                     79,                0.81663,                0.67434,                   1.19,                0.82643,                0.85279,                0.83901,                0.63994,                0.99175,                0.68892,                 1.3789,              0.0080942,              0.0080942,              0.0080942
                     80,                0.82265,                0.66296,                 1.1902,                0.84963,                0.78884,                 0.8417,                0.64077,                0.99368,                0.69807,                 1.3791,              0.0080695,              0.0080695,              0.0080695
                     81,                 0.8156,                0.66405,                 1.1889,                0.79593,                0.88094,                0.83599,                0.62421,                0.98971,                0.69024,                 1.3823,              0.0080447,              0.0080447,              0.0080447
                     82,                0.81025,                0.65749,                  1.182,                0.83488,                0.80369,                 0.8274,                0.62573,                0.99038,                0.69017,                 1.3747,                0.00802,                0.00802,                0.00802
                     83,                0.80594,                0.65073,                 1.1814,                0.83677,                0.85416,                0.83666,                0.63136,                 1.0022,                0.66928,                 1.3828,              0.0079953,              0.0079953,              0.0079953
                     84,                0.81331,                0.65997,                 1.1841,                0.86524,                0.85797,                0.84298,                0.62573,                0.98838,                0.65842,                 1.3642,              0.0079705,              0.0079705,              0.0079705
                     85,                 0.8012,                0.63777,                 1.1799,                0.84682,                0.82662,                0.84761,                0.64428,                0.99519,                 0.6984,                 1.3759,              0.0079457,              0.0079457,              0.0079457
                     86,                0.79821,                0.64087,                  1.172,                0.86491,                0.85797,                0.86085,                0.64499,                0.99381,                0.67872,                 1.3832,               0.007921,               0.007921,               0.007921
                     87,                0.80227,                0.64008,                 1.1815,                0.86774,                0.85723,                0.87146,                0.65271,                0.99035,                0.68247,                   1.37,              0.0078963,              0.0078963,              0.0078963
                     88,                0.79193,                0.63328,                 1.1677,                0.85606,                0.85031,                0.86004,                0.63632,                0.98906,                0.66644,                 1.3781,              0.0078715,              0.0078715,              0.0078715
                     89,                0.79554,                0.64011,                 1.1758,                0.84335,                0.87556,                0.86427,                0.65166,                0.98363,                0.68444,                 1.3596,              0.0078467,              0.0078467,              0.0078467
                     90,                0.78768,                0.62525,                 1.1707,                 0.8439,                0.85266,                0.85597,                0.63899,                0.97786,                0.67587,                 1.3664,               0.007822,               0.007822,               0.007822
                     91,                0.79907,                0.64374,                 1.1724,                0.84751,                0.84134,                0.85957,                0.64248,                0.97517,                0.66404,                 1.3575,              0.0077973,              0.0077973,              0.0077973
                     92,                0.77993,                0.62464,                 1.1595,                0.83362,                0.86418,                0.84372,                0.63742,                0.99909,                0.69025,                 1.3874,              0.0077725,              0.0077725,              0.0077725
                     93,                0.78769,                0.63442,                 1.1731,                0.87116,                0.85711,                0.87144,                0.65251,                0.97899,                0.67586,                 1.3542,              0.0077478,              0.0077478,              0.0077478
                     94,                0.77943,                0.63774,                 1.1647,                0.86318,                0.84879,                0.84454,                0.65485,                0.97917,                0.69799,                 1.3645,               0.007723,               0.007723,               0.007723
                     95,                0.78537,                0.62437,                 1.1717,                0.84804,                0.84983,                0.84031,                0.64506,                 0.9646,                0.67298,                 1.3521,              0.0076983,              0.0076983,              0.0076983
                     96,                0.77891,                 0.6122,                 1.1566,                0.85287,                0.84396,                0.84264,                0.64514,                0.98714,                 0.6688,                 1.3587,              0.0076735,              0.0076735,              0.0076735
                     97,                0.79148,                 0.6235,                 1.1676,                0.80028,                0.85473,                0.82969,                0.63294,                 0.9902,                0.67273,                 1.3766,              0.0076488,              0.0076488,              0.0076488
                     98,                0.77463,                0.61537,                 1.1543,                0.82781,                0.80954,                0.82744,                0.62351,                0.99932,                 0.6792,                  1.372,               0.007624,               0.007624,               0.007624
                     99,                0.77215,                0.61983,                 1.1601,                 0.8502,                0.86338,                0.85488,                0.65476,                 1.0063,                0.66038,                  1.387,              0.0075993,              0.0075993,              0.0075993
                    100,                0.77265,                0.60404,                 1.1565,                0.82245,                0.85636,                0.84814,                0.65318,                0.99048,                0.67272,                 1.3768,              0.0075745,              0.0075745,              0.0075745
                    101,                0.77403,                0.61587,                 1.1584,                0.85805,                0.84868,                0.86041,                0.66195,                0.97786,                0.65114,                 1.3559,              0.0075498,              0.0075498,              0.0075498
                    102,                0.76205,                0.60265,                 1.1578,                0.85008,                0.86374,                0.86437,                0.66316,                0.96765,                0.66195,                  1.348,               0.007525,               0.007525,               0.007525
                    103,                0.76211,                0.59289,                 1.1514,                0.85374,                0.84399,                0.85997,                0.66748,                0.96833,                0.66356,                 1.3528,              0.0075003,              0.0075003,              0.0075003
                    104,                0.77073,                0.61332,                 1.1562,                0.85037,                 0.8607,                0.86453,                0.66012,                0.96281,                0.65602,                 1.3515,              0.0074755,              0.0074755,              0.0074755
                    105,                0.76107,                0.59246,                 1.1547,                0.86547,                0.86524,                0.86499,                0.66275,                0.97499,                0.64175,                 1.3473,              0.0074507,              0.0074507,              0.0074507
                    106,                0.76193,                 0.5964,                 1.1529,                0.87985,                0.83682,                 0.8579,                 0.6694,                0.97798,                0.65493,                 1.3575,               0.007426,               0.007426,               0.007426
                    107,                0.76478,                0.60665,                 1.1497,                0.83939,                0.85933,                0.86128,                0.65587,                 0.9688,                0.65521,                 1.3514,              0.0074013,              0.0074013,              0.0074013
                    108,                0.76503,                0.59056,                 1.1577,                 0.8946,                0.87079,                0.88339,                0.66894,                0.97523,                0.64056,                 1.3617,              0.0073765,              0.0073765,              0.0073765
                    109,                0.76344,                0.60372,                 1.1435,                0.89502,                0.83736,                0.86508,                0.66288,                 0.9745,                0.64772,                 1.3456,              0.0073517,              0.0073517,              0.0073517
                    110,                0.74943,                0.58562,                 1.1433,                0.83313,                0.84731,                0.85885,                 0.6576,                0.96234,                0.65975,                 1.3423,               0.007327,               0.007327,               0.007327
                    111,                0.76074,                 0.5914,                 1.1482,                0.87161,                0.84881,                0.87275,                0.66594,                0.96457,                0.64678,                 1.3438,              0.0073023,              0.0073023,              0.0073023
                    112,                0.74273,                0.57571,                 1.1391,                0.87019,                0.87252,                0.87397,                0.67436,                0.95261,                0.64315,                 1.3294,              0.0072775,              0.0072775,              0.0072775
                    113,                0.75582,                0.58453,                 1.1477,                0.83344,                0.87722,                0.84323,                0.64856,                 0.9703,                 0.6672,                  1.341,              0.0072527,              0.0072527,              0.0072527
                    114,                0.75628,                0.59031,                 1.1448,                0.85987,                0.85113,                0.85591,                 0.6493,                0.97578,                   0.67,                 1.3479,               0.007228,               0.007228,               0.007228
                    115,                0.74241,                0.58383,                 1.1437,                0.88997,                0.85077,                0.87278,                0.66696,                 0.9962,                0.67245,                 1.3747,              0.0072033,              0.0072033,              0.0072033
                    116,                0.75495,                0.57915,                 1.1451,                0.84675,                0.87304,                0.87633,                0.66174,                0.98987,                0.67366,                 1.3558,              0.0071785,              0.0071785,              0.0071785
                    117,                0.76408,                0.59288,                 1.1557,                0.86571,                0.85143,                0.86816,                0.66448,                  0.975,                0.64139,                 1.3408,              0.0071538,              0.0071538,              0.0071538
                    118,                0.74109,                0.56428,                 1.1406,                0.88904,                0.85809,                0.88772,                 0.6702,                0.96365,                0.65141,                 1.3423,               0.007129,               0.007129,               0.007129
                    119,                0.75073,                0.57676,                 1.1419,                0.86608,                0.85657,                0.86648,                 0.6614,                0.97566,                0.65654,                 1.3509,              0.0071042,              0.0071042,              0.0071042
                    120,                0.73842,                0.57311,                 1.1317,                0.85705,                0.85718,                0.86579,                0.67445,                0.96062,                0.64276,                 1.3427,              0.0070795,              0.0070795,              0.0070795
                    121,                0.73467,                0.57108,                 1.1374,                0.85919,                0.85828,                0.87338,                0.67022,                0.97262,                0.63252,                 1.3359,              0.0070547,              0.0070547,              0.0070547
                    122,                0.73609,                0.56808,                 1.1331,                0.88074,                0.85412,                0.86896,                0.66446,                0.96759,                0.63367,                 1.3375,                0.00703,                0.00703,                0.00703
                    123,                0.73648,                0.56661,                 1.1373,                0.87366,                0.86287,                0.87937,                0.66445,                0.97185,                0.64593,                 1.3444,              0.0070053,              0.0070053,              0.0070053
                    124,                0.72983,                0.56914,                 1.1304,                 0.8419,                0.85754,                0.86067,                0.65723,                0.96921,                0.66047,                 1.3542,              0.0069805,              0.0069805,              0.0069805
                    125,                0.73937,                0.57043,                  1.136,                0.83862,                0.86096,                0.86641,                 0.6626,                0.96853,                0.63759,                 1.3469,              0.0069558,              0.0069558,              0.0069558
                    126,                0.72433,                0.55902,                 1.1298,                0.85434,                0.86001,                0.86341,                0.65977,                0.96617,                  0.637,                  1.342,               0.006931,               0.006931,               0.006931
                    127,                0.72906,                 0.5596,                 1.1277,                0.82648,                0.86748,                0.86155,                0.66393,                0.96374,                0.65472,                 1.3476,              0.0069063,              0.0069063,              0.0069063
                    128,                0.72375,                0.55773,                 1.1271,                0.85493,                0.85777,                  0.866,                0.66853,                0.96948,                0.65102,                 1.3526,              0.0068815,              0.0068815,              0.0068815
                    129,                0.72343,                0.55037,                 1.1268,                 0.8549,                0.83734,                 0.8729,                0.67048,                0.98109,                0.65252,                 1.3711,              0.0068568,              0.0068568,              0.0068568
                    130,                0.72524,                 0.5462,                 1.1273,                0.86042,                0.86571,                0.87209,                  0.667,                0.97388,                0.64974,                 1.3621,               0.006832,               0.006832,               0.006832
                    131,                0.72633,                0.54874,                 1.1232,                0.87167,                0.86776,                0.87886,                 0.6808,                0.95186,                0.64942,                 1.3442,              0.0068073,              0.0068073,              0.0068073
                    132,                0.72087,                0.55163,                 1.1244,                0.86271,                0.85651,                0.88097,                 0.6783,                0.95842,                0.64443,                 1.3476,              0.0067825,              0.0067825,              0.0067825
                    133,                0.72568,                0.55234,                 1.1255,                0.87146,                0.86534,                0.88646,                0.69182,                0.96457,                0.64339,                 1.3454,              0.0067577,              0.0067577,              0.0067577
                    134,                0.72015,                0.55546,                 1.1301,                0.86174,                0.86447,                0.88418,                0.68074,                0.95197,                0.63814,                 1.3391,               0.006733,               0.006733,               0.006733
                    135,                0.72914,                0.55357,                  1.128,                0.85699,                0.82622,                0.86454,                0.66848,                0.95845,                0.63468,                 1.3423,              0.0067082,              0.0067082,              0.0067082
                    136,                0.71981,                0.55006,                 1.1245,                0.84749,                0.83444,                0.86954,                0.66222,                0.96506,                0.63531,                 1.3516,              0.0066835,              0.0066835,              0.0066835
                    137,                0.72052,                  0.545,                 1.1282,                0.85782,                0.83426,                0.86876,                0.66667,                0.96016,                0.64203,                 1.3441,              0.0066587,              0.0066587,              0.0066587
                    138,                0.72914,                0.55741,                 1.1302,                0.85115,                 0.8468,                0.86644,                0.66589,                0.97217,                0.64819,                 1.3575,               0.006634,               0.006634,               0.006634
                    139,                0.70781,                0.53276,                 1.1166,                0.86308,                0.85471,                 0.8683,                0.66337,                0.97701,                0.63744,                 1.3673,              0.0066092,              0.0066092,              0.0066092
                    140,                 0.7198,                0.54928,                 1.1207,                0.85243,                0.84868,                0.87128,                 0.6617,                0.98368,                 0.6386,                 1.3747,              0.0065845,              0.0065845,              0.0065845
                    141,                0.71181,                0.53909,                 1.1178,                 0.8512,                0.85342,                0.87172,                0.66732,                0.98742,                0.64034,                 1.3767,              0.0065598,              0.0065598,              0.0065598
                    142,                0.71793,                0.55161,                 1.1211,                0.84766,                0.86816,                0.88168,                0.67849,                0.97631,                0.62885,                 1.3639,               0.006535,               0.006535,               0.006535
                    143,                 0.7134,                0.54682,                 1.1253,                0.84629,                0.86633,                0.88125,                0.67808,                0.96815,                0.62035,                 1.3492,              0.0065102,              0.0065102,              0.0065102
                    144,                0.71154,                 0.5427,                 1.1186,                0.85127,                0.86296,                0.88419,                0.66699,                0.96958,                0.60618,                 1.3537,              0.0064855,              0.0064855,              0.0064855
                    145,                0.70237,                0.53416,                 1.1147,                0.82778,                0.86195,                 0.8813,                0.68363,                0.97711,                0.61475,                 1.3516,              0.0064608,              0.0064608,              0.0064608
