                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.74389,                 1.1828,                0.66721,                 1.1546,                0.90209,                0.83154,                0.88872,                0.67804,                0.90209,                0.83154,                0.88691,                0.66368,                 0.8802,                 1.5103,                0.73603,                 1.2701,              0.0015743,              0.0015743,              0.0015743
                     46,                0.74917,                 1.2002,                0.65583,                 1.1543,                0.85814,                0.87097,                0.88995,                 0.6819,                0.84755,                0.86022,                0.87027,                0.64947,                0.85082,                 1.4566,                0.73376,                 1.2261,              0.0015644,              0.0015644,              0.0015644
                     47,                 0.7181,                  1.153,                0.62533,                 1.1466,                0.91109,                0.88145,                0.92364,                0.71874,                0.89872,                 0.8638,                0.89965,                0.67496,                0.84459,                 1.5483,                0.64072,                 1.2335,              0.0015545,              0.0015545,              0.0015545
                     48,                0.74752,                 1.2052,                0.65373,                 1.1659,                 0.8862,                0.89321,                 0.9269,                0.70998,                0.87656,                0.87814,                0.91301,                0.69434,                0.83637,                 1.3893,                 0.6645,                 1.2152,              0.0015446,              0.0015446,              0.0015446
                     49,                0.73269,                 1.1442,                0.62549,                 1.1398,                  0.931,                0.87055,                0.92224,                0.69644,                 0.9063,                0.84229,                 0.8897,                0.66756,                0.84659,                 1.3673,                0.69718,                 1.2052,              0.0015347,              0.0015347,              0.0015347
                     50,                0.74528,                 1.2006,                 0.6523,                 1.1377,                 0.9416,                 0.8638,                0.92635,                0.72039,                0.93495,                0.85663,                0.91091,                0.68884,                0.79818,                 1.3487,                0.64807,                  1.155,              0.0015248,              0.0015248,              0.0015248
                     51,                0.73104,                 1.1074,                0.61078,                 1.1468,                0.91414,                0.85663,                0.91806,                0.68151,                0.89865,                0.84229,                0.89282,                0.66697,                0.86823,                  1.506,                0.71634,                 1.2415,              0.0015149,              0.0015149,              0.0015149
                     52,                0.74199,                 1.1491,                0.63736,                 1.1574,                0.92801,                0.84229,                 0.9124,                 0.7011,                0.92485,                0.83805,                0.89209,                0.67683,                 0.8381,                 1.4497,                0.68997,                 1.2138,               0.001505,               0.001505,               0.001505
                     53,                0.72071,                 1.1099,                0.63438,                 1.1525,                0.91479,                0.82796,                0.90265,                0.66763,                0.88934,                0.80659,                0.87656,                0.64728,                 0.9394,                 1.4878,                0.77358,                 1.3154,              0.0014951,              0.0014951,              0.0014951
                     54,                0.71499,                  1.117,                0.61478,                 1.1315,                   0.91,                0.88172,                0.92822,                0.70002,                 0.8916,                0.85663,                0.90091,                0.67389,                0.84947,                   1.36,                0.66528,                 1.2307,              0.0014852,              0.0014852,              0.0014852
                     55,                0.69687,                 1.1539,                0.60665,                 1.1286,                0.90575,                0.89555,                 0.9286,                0.71739,                0.89475,                0.88359,                0.90079,                0.69332,                 0.8146,                 1.3513,                0.65362,                 1.2098,              0.0014753,              0.0014753,              0.0014753
                     56,                 0.7035,                  1.128,                0.59704,                 1.1202,                0.92689,                0.84946,                0.91036,                0.70222,                0.89331,                 0.8638,                0.89036,                0.68706,                0.82808,                 1.3289,                0.77128,                 1.2304,              0.0014654,              0.0014654,              0.0014654
                     57,                0.71297,                 1.1286,                0.59648,                 1.1283,                0.88724,                0.90245,                  0.916,                0.70815,                0.87538,                0.88118,                0.89898,                 0.6805,                0.80533,                 1.3837,                0.67595,                 1.2103,              0.0014555,              0.0014555,              0.0014555
                     58,                0.72853,                 1.1608,                0.62854,                 1.1394,                0.90385,                0.90976,                 0.9256,                0.71316,                0.88915,                0.89606,                0.90437,                0.69265,                0.81121,                 1.4211,                0.63997,                  1.222,              0.0014456,              0.0014456,              0.0014456
                     59,                0.73104,                 1.1769,                0.61996,                 1.1517,                0.94134,                0.85305,                0.92485,                0.71731,                0.95137,                0.84138,                0.90607,                0.67553,                0.81806,                 1.4753,                0.70233,                 1.1925,              0.0014357,              0.0014357,              0.0014357
                     60,                0.69338,                 1.0888,                0.59836,                 1.1259,                0.91483,                0.89606,                0.93499,                0.73049,                0.88932,                0.86401,                0.90721,                0.70265,                 0.8102,                 1.3497,                0.70099,                 1.1874,              0.0014258,              0.0014258,              0.0014258
                     61,                0.69861,                 1.0788,                0.59638,                 1.1333,                0.90389,                 0.9101,                0.92908,                0.73082,                0.88994,                0.89606,                0.91573,                0.70407,                0.79058,                 1.3788,                0.68529,                 1.1747,              0.0014159,              0.0014159,              0.0014159
                     62,                0.71521,                 1.1222,                0.59811,                 1.1362,                0.93864,                0.87719,                0.92683,                0.70638,                0.91159,                   0.85,                0.90661,                0.69569,                0.83097,                 1.4047,                0.71948,                 1.2096,               0.001406,               0.001406,               0.001406
                     63,                0.69362,                 1.1175,                0.58746,                   1.12,                0.91629,                 0.9024,                0.92126,                0.72149,                0.88995,                0.86959,                0.89162,                0.69901,                0.77297,                 1.3507,                0.64806,                  1.143,              0.0013961,              0.0013961,              0.0013961
                     64,                0.67751,                 1.0881,                0.56627,                 1.1049,                0.93426,                0.86022,                0.92607,                0.74465,                0.94338,                0.83604,                0.91012,                0.70727,                0.76397,                 1.3658,                0.62691,                 1.1494,              0.0013862,              0.0013862,              0.0013862
                     65,                0.70452,                 1.1655,                0.61368,                  1.129,                0.93931,                0.83214,                0.91617,                0.72098,                0.91504,                0.81063,                 0.8874,                0.70363,                0.81898,                 1.3844,                0.65989,                   1.19,              0.0013763,              0.0013763,              0.0013763
                     66,                0.68278,                 1.1044,                0.58871,                 1.1213,                0.90955,                0.86498,                0.92588,                0.73238,                0.90972,                0.83513,                0.90356,                0.69803,                0.80722,                 1.4066,                 0.6464,                 1.1753,              0.0013664,              0.0013664,              0.0013664
                     67,                0.67984,                 1.0548,                0.57339,                 1.1183,                0.91307,                0.90351,                0.93367,                0.74073,                0.88778,                0.87901,                0.90864,                 0.7103,                0.79316,                 1.4016,                0.62488,                 1.1585,              0.0013565,              0.0013565,              0.0013565
                     68,                 0.6593,                 1.0648,                0.56549,                 1.1075,                0.93691,                0.88172,                0.92485,                0.74028,                0.92779,                 0.8638,                0.90641,                0.70972,                0.76193,                  1.374,                0.63886,                 1.1472,              0.0013466,              0.0013466,              0.0013466
                     69,                0.68202,                 1.1085,                 0.5969,                  1.115,                0.92459,                0.82079,                0.91219,                 0.7129,                0.89342,                0.82079,                0.88325,                0.67737,                0.82116,                 1.4917,                 0.6631,                  1.196,              0.0013367,              0.0013367,              0.0013367
                     70,                0.68377,                 1.0669,                0.56096,                 1.1076,                0.90596,                0.90323,                0.93007,                0.74197,                0.89466,                0.87097,                0.89875,                0.70747,                0.76159,                 1.3865,                0.65944,                 1.1338,              0.0013268,              0.0013268,              0.0013268
                     71,                0.68912,                  1.106,                0.59954,                 1.1214,                0.94524,                0.86617,                0.91719,                0.72427,                 0.9257,                 0.8485,                0.89098,                0.71159,                0.81187,                 1.4051,                0.64647,                 1.1847,              0.0013169,              0.0013169,              0.0013169
                     72,                0.65268,                 1.0446,                0.53748,                 1.1019,                0.94824,                0.84588,                0.92095,                0.71547,                0.88609,                0.86431,                 0.8988,                0.69526,                0.81085,                 1.3866,                0.62373,                 1.1915,               0.001307,               0.001307,               0.001307
                     73,                 0.6543,                 1.0722,                0.55688,                 1.0966,                0.88972,                0.86748,                  0.915,                0.71206,                0.88025,                0.85663,                0.89006,                0.68917,                0.77349,                 1.3625,                0.70699,                 1.1623,              0.0012971,              0.0012971,              0.0012971
                     74,                 0.6457,                 1.0102,                0.51855,                 1.0971,                0.91279,                0.87097,                0.91748,                0.72388,                0.89776,                0.85663,                0.88803,                0.70738,                0.76086,                 1.3169,                0.67303,                 1.1631,              0.0012872,              0.0012872,              0.0012872
                     75,                0.63579,                  1.021,                0.53154,                 1.0938,                0.96065,                0.87494,                0.94439,                0.75439,                0.95197,                 0.8638,                0.92605,                0.71981,                0.73292,                 1.3216,                0.58486,                 1.1137,              0.0012773,              0.0012773,              0.0012773
                     76,                 0.6695,                 1.0631,                0.54145,                 1.1008,                0.92584,                0.89499,                0.93786,                0.73572,                0.94699,                 0.8638,                0.91602,                0.71143,                0.78128,                 1.3149,                0.63326,                 1.1561,              0.0012674,              0.0012674,              0.0012674
                     77,                0.65006,                 1.0674,                0.53996,                 1.1019,                0.94181,                0.87023,                0.92569,                0.74012,                 0.8706,                0.88889,                0.90486,                0.71272,                0.76103,                 1.3541,                0.62853,                 1.1439,              0.0012575,              0.0012575,              0.0012575
                     78,                0.64279,                 1.0329,                0.53021,                 1.1089,                 0.9291,                0.90681,                0.94995,                0.76448,                0.91554,                0.89358,                0.92435,                0.73026,                0.70897,                 1.3939,                0.58425,                 1.1018,              0.0012476,              0.0012476,              0.0012476
                     79,                0.66799,                 1.0186,                0.56432,                 1.1104,                0.93867,                0.87777,                0.92642,                0.72907,                0.91903,                0.86022,                0.90345,                0.70653,                0.77163,                 1.3756,                0.65237,                 1.1637,              0.0012377,              0.0012377,              0.0012377
                     80,                0.64714,                 1.0331,                0.54653,                 1.0901,                0.94551,                0.87075,                0.92622,                0.71846,                0.92605,                0.85283,                0.89557,                0.70198,                0.76835,                 1.3679,                0.60052,                 1.1755,              0.0012278,              0.0012278,              0.0012278
                     81,                0.68025,                 1.0721,                 0.5602,                 1.1044,                0.92121,                0.89247,                0.93617,                0.73833,                0.89446,                0.86738,                0.90722,                0.70942,                0.75122,                 1.3379,                0.62751,                 1.1464,              0.0012179,              0.0012179,              0.0012179
                     82,                0.65407,                 1.0248,                0.53911,                 1.0928,                0.92943,                0.89696,                0.94135,                0.74422,                0.91758,                0.87786,                0.92435,                0.72653,                0.77701,                  1.344,                0.59228,                  1.181,               0.001208,               0.001208,               0.001208
                     83,                  0.642,                 1.0442,                0.53132,                 1.0786,                0.94289,                0.88756,                0.93146,                0.74155,                0.93908,                0.88398,                 0.9182,                0.72135,                0.78013,                 1.3479,                0.61459,                 1.1612,              0.0011981,              0.0011981,              0.0011981
                     84,                0.64249,                 1.0185,                 0.5367,                 1.0992,                0.92974,                0.86738,                 0.9386,                0.73761,                0.93915,                0.84946,                0.91314,                0.70763,                0.78611,                  1.415,                0.63062,                 1.1643,              0.0011882,              0.0011882,              0.0011882
                     85,                0.66171,                 1.0492,                0.55397,                 1.1021,                0.91066,                0.87097,                0.91527,                  0.738,                0.91403,                 0.8384,                 0.8886,                0.71293,                0.75331,                 1.4196,                0.58828,                 1.1464,              0.0011783,              0.0011783,              0.0011783
                     86,                 0.6538,                 1.0497,                0.54737,                 1.1036,                0.92561,                 0.8853,                0.90049,                0.71362,                0.91153,                0.87455,                0.89685,                0.69606,                0.79576,                 1.3712,                0.62008,                 1.1704,              0.0011684,              0.0011684,              0.0011684
                     87,                 0.6402,                 1.0911,                 0.5451,                 1.0935,                0.92251,                0.89613,                0.93559,                0.73171,                0.90044,                0.87523,                0.91162,                0.69622,                 0.7721,                 1.3865,                0.62344,                 1.1601,              0.0011585,              0.0011585,              0.0011585
                     88,                0.62881,                 1.0131,                0.51279,                 1.0883,                 0.9513,                 0.9102,                0.93141,                0.74889,                0.93247,                0.88172,                 0.9184,                0.72461,                0.74477,                 1.2938,                0.57639,                 1.1326,              0.0011486,              0.0011486,              0.0011486
