                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.70613,                0.49848,                0.44529,                0.94769,                0.97387,                0.98223,                0.99097,                0.86223,                   0.97,                0.94996,                0.96584,                0.52727,                0.56682,                0.26923,                0.30966,                0.92263,              0.0010458,              0.0010458,              0.0010458
                     36,                0.68233,                0.48237,                0.42823,                0.94052,                0.93254,                0.96966,                0.98659,                0.85908,                0.91954,                  0.955,                0.96953,                0.53842,                0.55351,                0.26234,                0.32668,                 0.9179,              0.0010396,              0.0010396,              0.0010396
                     37,                0.67719,                0.49094,                0.43155,                0.93648,                0.97412,                0.96102,                 0.9927,                0.85096,                0.95394,                 0.9422,                0.96744,                0.55112,                0.58354,                 0.2618,                0.33017,                0.92897,              0.0010334,              0.0010334,              0.0010334
                     38,                0.69555,                0.50006,                0.44013,                0.94362,                0.97181,                0.99137,                0.99247,                0.86097,                0.95342,                0.97147,                0.96626,                0.55352,                0.54979,                0.26378,                0.31481,                0.91542,              0.0010273,              0.0010273,              0.0010273
                     39,                0.68027,                0.47997,                0.43235,                0.93854,                0.91752,                0.96888,                0.98332,                 0.8501,                0.89965,                 0.9519,                0.95841,                0.54278,                0.56217,                0.25586,                0.32996,                0.92312,              0.0010211,              0.0010211,              0.0010211
                     40,                0.67462,                0.48143,                0.42114,                  0.936,                0.97275,                0.96115,                0.98414,                0.84755,                 0.9602,                0.94725,                0.96438,                0.57114,                0.57503,                 0.2576,                0.31509,                0.92567,              0.0010149,              0.0010149,              0.0010149
                     41,                0.67691,                0.50172,                 0.4283,                0.94139,                0.97863,                0.94749,                0.98961,                0.85715,                0.96033,                0.93078,                0.96487,                0.54512,                0.57521,                0.25693,                0.30887,                0.92882,              0.0010087,              0.0010087,              0.0010087
                     42,                0.66722,                0.47423,                0.41941,                 0.9358,                0.97271,                  0.966,                0.99103,                0.86458,                 0.9612,                0.95354,                0.97646,                0.57418,                 0.5512,                0.25542,                 0.2999,                0.91144,              0.0010025,              0.0010025,              0.0010025
                     43,                0.66945,                0.47133,                0.41127,                 0.9336,                0.97988,                0.97275,                0.99174,                0.86828,                0.97289,                0.96369,                0.98513,                0.55756,                0.52708,                0.26479,                0.30223,                0.90986,             0.00099631,             0.00099631,             0.00099631
                     44,                0.66193,                0.48747,                0.41478,                0.93171,                0.96908,                0.98831,                0.99254,                0.86843,                0.96192,                0.97925,                0.98405,                0.57565,                  0.541,                0.25474,                0.30398,                0.91275,             0.00099013,             0.00099013,             0.00099013
